comment,video,clean,label,label_id
.,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
"MasyaAllah bg mael, lihat tu cara minum nya, memang mendalami kali sekarang,tetap Istiqomah mael",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyaallah bg mael lihat tu minum nya dalam kali istiqomah mael,netral,1
"Pecah emang , sumpah , kompor gass, bag pras dan mael serta fajar",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah emang sumpah kompor gass bag pras mael fajar,netral,1
Duh ngakak terus AQ lihat ini 😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,duh ngakak aq lihat,negatif,0
Pecah sih fajar sadbor 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah sih fajar sadbor,netral,1
Menit ke 47.47 tatapan bang praz dalem banget ke fajar🥰😍,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,menit 47 47 tatap bang praz dalem banget fajar,netral,1
Wkwkwkwkwk episod terseru Minggu ini😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wkwkwkwkwk episod seru minggu,netral,1
Fajarrrrr 😂 Ya allah lucuuu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajarrrrr ya allah lucuuu,netral,1
Ada yg tidak dilakukan rosul tp tdak jg dilarang. Bukan berarti salah apalagi haram. Banyak literasi yang menjelaskan itu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,yg rosul tp tdak jg larang salah haram literasi,netral,1
Memang banggkeee😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,banggkeee,netral,1
